CHEMBL_ID,DRUG_NAME,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,MURCKO_SCAFFOLD,IN_DRUGCOMB,IN_GDSC,IN_BOTH
CHEMBL2,PRAZOSIN,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.41,1.78,1.0,8.0,106.95,4.0,O=C(c1ccco1)N1CCN(c2ncc3ccccc3n2)CC1,True,False,False
CHEMBL3,NICOTINE,CN1CCC[C@H]1c1cccnc1,162.24,1.85,0.0,2.0,16.13,1.0,c1cncc([C@@H]2CCCN2)c1,False,False,False
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,1.54,1.0,6.0,75.01,2.0,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,True,False,False
CHEMBL5,NALIDIXIC ACID,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.24,1.42,1.0,4.0,72.19,2.0,O=c1cc[nH]c2ncccc12,True,False,False
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.79,3.93,1.0,4.0,68.53,4.0,O=C(c1ccccc1)n1ccc2ccccc21,True,False,False
CHEMBL403,SULBACTAM,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.24,-0.79,1.0,4.0,91.75,1.0,O=C1C[C@@H]2N1CCS2(=O)=O,True,False,False
CHEMBL404,TAZOBACTAM,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.3,-1.52,1.0,7.0,122.46,3.0,O=C1C[C@@H]2N1CC(Cn1ccnn1)S2(=O)=O,False,False,False
CHEMBL8,CIPROFLOXACIN,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.35,1.58,2.0,5.0,74.57,3.0,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,True,False,False
CHEMBL9,NORFLOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.34,1.27,2.0,5.0,74.57,3.0,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,True,False,False
CHEMBL405,AMPHETAMINE,CC(N)Cc1ccccc1,135.21,1.58,1.0,1.0,26.02,2.0,c1ccccc1,False,False,False
CHEMBL6622,ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.14,-1.06,0.0,8.0,123.2,4.0,C1C[C@H]2OCC[C@H]2O1,True,False,False
CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,3.08,0.0,2.0,6.48,0.0,c1ccc2c(c1)Cc1ccccc1N1CCNCC21,True,False,False
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.42,3.88,0.0,2.0,6.48,4.0,c1ccc2c(c1)CCc1ccccc1N2,True,False,False
CHEMBL406,INDAPAMIDE,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84,2.08,2.0,4.0,92.5,3.0,O=C(NN1CCc2ccccc21)c1ccccc1,True,False,False
CHEMBL407,FLUMAZENIL,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,303.29,1.77,0.0,5.0,64.43,2.0,O=C1NCc2cncn2-c2ccccc21,True,False,False
CHEMBL408,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.55,4.37,2.0,6.0,84.86,5.0,O=C1NC(=O)C(Cc2ccc(OCC3CCc4ccccc4O3)cc2)S1,True,False,False
CHEMBL409,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,2.88,2.0,5.0,107.26,5.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,True,True,True
CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.75,3.15,0.0,2.0,32.67,1.0,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,False,False
CHEMBL13,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1,267.37,1.61,2.0,4.0,50.72,9.0,c1ccccc1,False,False,False
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,268.36,4.83,2.0,2.0,40.46,4.0,C(=Cc1ccccc1)c1ccccc1,True,False,False
CHEMBL267936,MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C,167.3,2.42,1.0,1.0,12.03,1.0,C1CC2CCC1C2,True,False,False
CHEMBL14,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-],182.65,-0.21,1.0,2.0,52.32,3.0,,True,False,False
CHEMBL16,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,1.77,2.0,2.0,58.2,2.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,True,False,False
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.19,6.18,3.0,13.0,195.43,6.0,O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2,True,False,False
